Computer have beated player khaled, score = [1, 0] to the Computer.
Player nourhanne have beated the computer, score = [1, 0] to nourhanne.
Computer have beated player nourhanne, score = [1, 0] to the Computer.
Computer have beated player nourhanne, score = [1, 0] to the Computer.
Player Mahmoud have beated the computer, score = [1, 0] to Mahmoud.
Player Ali have beated the computer, score = [1, 0] to Ali.
Player khaled have beated the computer, score = [1, 0] to khaled.
Computer have beated player khaled, score = [1, 0] to the Computer.
Player khaled have beated the computer, score = [1, 0] to khaled.
Computer have beated player khaled, score = [1, 0] to the Computer.
Computer have beated player ali, score = [1, 0] to the Computer.
Computer have beated player ayman, score = [1, 0] to the Computer.
Player bathant have beated the computer, score = [1, 0] to bathant.
Computer have beated player bathant, score = [1, 0] to the Computer.
Player tmp have beated the computer, score = [1, 0] to tmp.
Computer have beated player mm, score = [1, 0] to the Computer.
Player kkl have beated the computer, score = [1, 0] to kkl.
Computer have beated player kkl, score = [1, 0] to the Computer.
Player ali have beated the computer, score = [1, 0] to ali.
Computer have beated player kk, score = [1, 0] to the Computer.
Computer have beated player kk, score = [1, 0] to the Computer.
Computer have beated player ali, score = [1, 0] to the Computer.
Computer have beated player s, score = [1, 0] to the Computer.
Player ss have beated the computer, score = [1, 0] to ss.
Player dd have beated the computer, score = [1, 0] to dd.
Player mm have beated the computer, score = [1, 0] to mm.
